4	[115774269,99806343,82,211,59,200,3]	{broken,clouds}
4	[130440620,100004112,93,215,41,0,0]	{scattered,clouds}
4	[133700111,100583702,79,211,46,226,3]	{sky,clear}
4	[129952339,104836212,70,214,45,271,3]	{broken,clouds}
4	[130714272,105994034,57,212,48,260,7]	{few,clouds}
4	[135508839,106412193,87,145,45,231,4]	{sky,clear}
4	[132358429,108940231,68,214,47,60,3]	{few,clouds}
4	[121251810,214791302,51,184,67,157,3]	{overcast,clouds}
4	[122083328,214799999,62,212,64,307,0]	{sky,clear}
4	[119558050,214948212,22,210,70,30,8]	{broken,clouds}
4	[122815559,214989170,51,213,64,336,2]	{overcast,clouds}
4	[123005859,215094090,51,213,64,336,2]	{overcast,clouds}
4	[121769038,215216331,50,190,63,329,2]	{overcast,clouds}
4	[135523449,57323792,80,224,42,18,0]	{scattered,clouds}
5	[121769038,215216331,50,190,63,329,2]	{overcast,clouds}
5	[135523449,57323792,80,224,42,31,0]	{scattered,clouds}
5	[127774929,57580582,85,209,49,135,2]	{sky,clear}
5	[137606209,57667930,79,228,41,17,0]	{sky,clear}
5	[124052231,61756316,88,213,51,0,0]	{sky,clear}
5	[122715328,62842743,81,213,51,0,0]	{sky,clear}
5	[126174969,64862778,21,218,53,37,0]	{sky,clear}
5	[123448380,67925957,23,213,56,9,2]	{sky,clear}
5	[125084492,73348862,49,224,45,360,4]	{sky,clear}
5	[129739151,75015297,62,228,44,39,3]	{broken,clouds}
5	[119424120,81506371,92,214,49,31,0]	{sky,clear}
5	[122783058,83193329,86,211,49,337,3]	{sky,clear}
5	[119763281,84636726,89,208,48,263,1]	{sky,clear}
5	[129099730,85421432,70,211,50,34,0]	{sky,clear}
5	[134979968,86736160,65,212,47,329,3]	{broken,clouds}
5	[128627270,89802109,71,210,46,37,3]	{sky,clear}
5	[131850029,92349953,70,214,44,0,0]	{overcast,clouds}
5	[126165889,93215561,99,204,47,70,4]	{overcast,clouds}
5	[129768379,93841957,76,211,43,40,4]	{overcast,clouds}
5	[123749001,95612022,94,206,54,111,3]	{overcast,clouds}
5	[132331429,96954247,74,215,44,0,0]	{sky,clear}
5	[120332180,98344353,87,209,58,180,3]	{scattered,clouds}
5	[125227089,99156868,87,212,48,71,4]	{overcast,clouds}
5	[115774269,99806343,82,211,59,200,3]	{broken,clouds}
